release_tag	pulled_at_utc	n_isolates	n_dropped	sha256	source_url	tool_version
PDG000000067.670	2026-08-13T20:05:01Z	29111	0	842b67e2587d48e0e5ffe67b08968713127d4eec3d4698de7933be84992e8626	https://ftp.ncbi.nlm.nih.gov/pathogen/Results/Candidozyma_auris/PDG000000067.670/Metadata/PDG000000067.670.metadata.tsv	1
PDG000000067.671	2026-08-13T20:04:57Z	29085	0	3ae76b19517ace7f18c1c4a4ca7a4f0ee3b12f6077219d147d2086b26b52f966	https://ftp.ncbi.nlm.nih.gov/pathogen/Results/Candidozyma_auris/PDG000000067.671/Metadata/PDG000000067.671.metadata.tsv	1
PDG000000067.672	2026-08-14T23:32:37Z	29118	0	6e6d790fa9dd2746ec98fd8f930f1b7c0e4c1429878afb47dfdebdc168c0be62	https://ftp.ncbi.nlm.nih.gov/pathogen/Results/Candidozyma_auris/PDG000000067.672/Metadata/PDG000000067.672.metadata.tsv	1
PDG000000067.675	2026-08-19T22:47:02Z	29294	0	d25ba2a37aaa5956b8a1e53373dbfe1c3059139b5fc6370a6979642eb6fd27c1	https://ftp.ncbi.nlm.nih.gov/pathogen/Results/Candidozyma_auris/PDG000000067.675/Metadata/PDG000000067.675.metadata.tsv	1
PDG000000067.686	2026-09-03T19:33:11Z	29699	0	a74eeb26734f6fde70bcae21a0e1477de72dcc40b94ad174fe356b4606c52940	https://ftp.ncbi.nlm.nih.gov/pathogen/Results/Candidozyma_auris/PDG000000067.686/Metadata/PDG000000067.686.metadata.tsv	1
