name	reason
_3_4-DCPG-_R__	no aromatic nitrogen (cannot coordinate the heme iron)
_3_4-DCPG-_S__	no aromatic nitrogen (cannot coordinate the heme iron)
_3_4-methylenedioxy-beta-nitrostyrene_	no aromatic nitrogen (cannot coordinate the heme iron)
_3_5-DHPG-_S__	no aromatic nitrogen (cannot coordinate the heme iron)
3_-fluorobenzylspiperone	no aromatic nitrogen (cannot coordinate the heme iron)
4-_4-fluorobenzoyl_-1-_4-phenylbutyl_-piperidine	no aromatic nitrogen (cannot coordinate the heme iron)
4-_aminomethyl_benzoic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
_4-acetyl-1_1-dimethylpiperazinium_	no aromatic nitrogen (cannot coordinate the heme iron)
4-aminohippuric-acid	no aromatic nitrogen (cannot coordinate the heme iron)
4-carboxy-3-hydroxyphenylglycine-_RS_	unparseable SMILES
4-carboxy-3-hydroxyphenylglycine-_S_	no aromatic nitrogen (cannot coordinate the heme iron)
4-chlorophenylguanidine	no aromatic nitrogen (cannot coordinate the heme iron)
4-CMTB	unparseable SMILES
4-DAMP	no aromatic nitrogen (cannot coordinate the heme iron)
4-galactosyllactose	unparseable SMILES
4-IBP	no aromatic nitrogen (cannot coordinate the heme iron)
4-iodo-L-phenylalanine	no aromatic nitrogen (cannot coordinate the heme iron)
4-methylgenistein	no aromatic nitrogen (cannot coordinate the heme iron)
4-mu-8C	no aromatic nitrogen (cannot coordinate the heme iron)
4-P-PDOT	unparseable SMILES
4-phenolsulfonic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
_4-phenyl-1_2_3_4-tetrahydroisoquinoline_	unparseable SMILES
4-PPBP	no aromatic nitrogen (cannot coordinate the heme iron)
4-propylbenzoic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
4-tert-butylphenol	no aromatic nitrogen (cannot coordinate the heme iron)
_4_4-pentamethylenepiperidine_	no aromatic nitrogen (cannot coordinate the heme iron)
_4_4_-DDT_	no aromatic nitrogen (cannot coordinate the heme iron)
4BP-TQS	unparseable SMILES
4E1RCat	no aromatic nitrogen (cannot coordinate the heme iron)
5-aminolevulinic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
5-BDBD	no aromatic nitrogen (cannot coordinate the heme iron)
5-HMF	no aromatic nitrogen (cannot coordinate the heme iron)
5-hydroxydecanoic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
5-hydroxyectoine	no aromatic nitrogen (cannot coordinate the heme iron)
5-hydroxymethyl-tolterodine	no aromatic nitrogen (cannot coordinate the heme iron)
5-hydroxytryptophan	unparseable SMILES
5-methylfurmethiodide	no aromatic nitrogen (cannot coordinate the heme iron)
5-methylhydantoin-_D_	no aromatic nitrogen (cannot coordinate the heme iron)
5-methylhydantoin-_L_	no aromatic nitrogen (cannot coordinate the heme iron)
5-octanoylsalicylic-acid	no aromatic nitrogen (cannot coordinate the heme iron)
5_-chloro-5_-deoxy-ENBA-___-_	unparseable SMILES
6-aminochrysene	no aromatic nitrogen (cannot coordinate the heme iron)
