rank	ligand	N_Fe_dist_A	vina_kcal_mol
779	thiamine	3.528	-7.7
780	linifanib	3.529	-11.9
781	cilofexor	3.529	-11.8
782	fexinidazole	3.530	-7.9
783	acefylline	3.530	-6.9
784	fursultiamine	3.530	-8.2
785	guanosine	3.531	-7.3
786	piperaquine-phosphate	3.531	-12.0
787	zoniporide	3.532	-10.0
788	spautin-1	3.534	-10.7
789	Y-39983	3.534	-9.2
790	AS-1269574	3.534	-7.9
791	sulfadoxine	3.536	-8.0
792	propentofylline	3.536	-7.9
793	SR-1664	3.536	-10.5
794	crenolanib	3.536	-10.0
795	SGI-1027	3.536	-14.2
796	pentoxifylline	3.537	-7.8
797	proacipimox	3.538	-5.6
798	tirasemtiv	3.539	-7.2
799	diaveridine	3.540	-8.2
800	nithiamide	3.540	-6.2
801	isbufylline	3.541	-7.3
802	macitentan	3.541	-8.1
803	mirabegron	3.542	-9.7
804	tirapazamine	3.542	-7.8
805	talmapimod	3.544	-7.8
806	GR46611	3.544	-10.0
807	_trans-4-_8-_3-fluorophenyl_-1_7-naphthyridin-6-yl_cyclohexanecarboxylic-acid_	3.544	-11.9
808	CFM-1571	3.545	-9.4
809	BAX-channel-blocker	3.546	-8.9
810	CDK1-5-inhibitor	3.549	-7.7
811	freselestat	3.550	-9.6
812	cefetamet-pivoxil	3.550	-7.5
813	PF-04447943	3.553	-10.8
814	troclosene	3.553	-6.3
815	vicriviroc	3.554	-8.8
816	CFI-402257	3.555	-10.2
817	mecarbinate	3.556	-8.0
818	zebularine	3.556	-6.5
819	VER-49009	3.557	-8.5
820	5-FP	3.561	-4.8
821	PF-06260414	3.562	-8.7
822	PRX-08066	3.562	-10.0
823	TAK-593	3.562	-11.3
824	ZLN024	3.565	-7.7
825	PLX647	3.565	-11.5
826	JNJ-38877618	3.566	-10.9
827	VUF10166	3.567	-8.8
828	nicotinamide	3.569	-5.4
829	domperidone	3.570	-11.2
830	tivantinib	3.570	-10.1
831	basmisanil	3.571	-12.0
832	phortress	3.571	-9.6
833	apafant	3.571	-9.4
834	etofylline-clofibrate	3.573	-9.6
835	A-887826	3.573	-10.6
836	RS-504393	3.573	-11.8
837	FR-139317	3.574	-10.2
838	BMS-986195	3.575	-8.5
839	CJ-13610	3.576	-10.1
840	SKLB1002	3.576	-7.5
841	nuvenzepine	3.577	-11.4
842	necrostatin-2	3.577	-8.8
843	N-cyclohexyl-2-benzothiazolesulfenamide	3.578	-8.9
844	WEHI-345-analog	3.579	-10.7
845	selinexor	3.579	-11.0
846	GSK2239633A	3.581	-10.2
847	PCI-29732	3.582	-11.2
848	JTE-013	3.586	-9.8
849	TRAM-34	3.586	-8.9
850	3PO	3.587	-8.2
851	lapatinib	3.588	-10.9
852	acalisib	3.588	-10.3
853	quinolinic-acid	3.589	-6.3
854	procaterol	3.592	-8.8
855	SB-203186	3.592	-9.2
856	avitinib	3.592	-11.7
857	E7449	3.593	-10.8
858	TA-01	3.595	-9.5
859	iodophenpropit	3.595	-8.1
860	SPP86	3.595	-8.8
861	hydroxyfasudil	3.596	-9.0
862	DBeQ	3.596	-11.4
863	carmoterol	3.598	-10.0
864	glipizide	3.598	-11.8
865	disopyramide	3.599	-8.4
866	PP242	3.601	-9.2
867	obidoxime	3.602	-7.9
868	RG108	3.603	-10.0
869	CYT-997	3.603	-9.3
870	PLX4720	3.603	-10.1
871	SBI-115	3.604	-8.9
872	VP-20629	3.605	-7.7
873	uracil	3.608	-4.8
874	N-_2-chlorophenyl_-2-___2E_-2-_1-_2-pyridinyl_ethylidene_hydrazino_carbothioyl_hydrazinecarbothioamide	3.610	-8.8
875	4-HQN	3.612	-7.2
876	lotamilast	3.612	-10.9
877	idoxuridine	3.613	-7.0
878	CK-636	3.615	-9.8
879	T-025	3.615	-9.9
880	YM-244769	3.616	-11.8
881	PF-06650833	3.619	-9.2
882	suritozole	3.620	-7.5
883	MI-14	3.622	-10.2
884	padsevonil	3.623	-9.6
885	Ro-08-2750	3.623	-8.5
886	tropisetron	3.624	-9.7
887	PF-06305591	3.629	-9.0
888	OSI-027	3.630	-9.2
889	proxodolol	3.632	-8.4
890	PK-44	3.633	-11.0
891	ethimizol	3.633	-6.2
892	AMG-208	3.635	-11.5
893	acipimox	3.635	-5.9
894	mesulergine	3.637	-7.8
895	trimethoprim	3.638	-8.2
896	TH-302	3.638	-6.8
897	milrinone	3.639	-7.2
898	verdinexor	3.640	-11.2
899	melatonin	3.644	-7.9
900	picolinic-acid	3.644	-5.4
901	ryuvidine	3.646	-9.3
902	SB-742457	3.647	-10.0
903	GSK2126458	3.648	-9.0
904	sulfasalazine	3.649	-10.2
905	PF-4191834	3.651	-10.4
906	tinazoline	3.653	-7.8
907	TG-100713	3.653	-8.8
908	5-fluorouracil	3.654	-5.2
909	dinaciclib	3.654	-8.2
910	GW-583340	3.654	-10.5
911	zimelidine	3.656	-7.9
912	ciproxifan	3.660	-8.3
913	indoramin	3.661	-11.1
914	CCT245737	3.661	-9.5
915	riboflavin	3.661	-8.4
916	FIPI	3.662	-11.9
917	torasemide	3.662	-9.4
918	moxonidine	3.662	-6.8
919	N6-methyladenosine	3.662	-7.5
920	YIL-781	3.663	-11.5
921	licostinel	3.665	-7.8
922	indacaterol	3.665	-11.2
923	BLZ945	3.665	-11.1
924	ethoxzolamide	3.666	-7.4
925	LY225910	3.666	-10.0
926	ozagrel	3.667	-8.1
927	ME-0328	3.670	-10.6
928	FGIN-1-27	3.670	-8.4
929	SAR131675	3.670	-9.0
930	BMS-806	3.671	-8.8
931	symclosene	3.671	-6.5
932	cefotaxime	3.672	-7.8
933	pilocarpine	3.672	-6.7
934	3-indolebutyric-acid	3.672	-7.9
935	MS-424	3.672	-7.3
936	sulconazole	3.673	-9.8
937	oxyquinoline	3.673	-7.2
938	4EGI-1	3.674	-9.9
939	Ro-10-5824	3.674	-10.1
940	A205804	3.674	-9.2
941	TAK-733	3.676	-8.6
942	ramifenazone	3.676	-8.4
943	tenofovir	3.677	-7.3
944	deferiprone	3.680	-5.9
945	SNS-314	3.680	-10.3
946	GSK3326595	3.681	-11.5
947	amuvatinib	3.681	-11.1
948	PPY-A	3.681	-10.4
949	chidamide	3.682	-10.8
950	VUF10460	3.682	-8.9
951	CHIR-124	3.683	-9.4
952	idalopirdine	3.683	-10.6
953	GR-127935	3.683	-12.0
954	harmane	3.684	-8.6
955	amrinone	3.685	-7.3
956	OICR-9429	3.686	-8.3
957	tioguanine	3.687	-7.4
958	carboxyamidotriazole	3.687	-11.4
959	edaravone	3.687	-8.0
960	cetilistat	3.688	-8.5
961	acrivastine	3.689	-10.8
962	pyrazoloacridine	3.690	-8.2
963	1-EBIO	3.691	-6.9
964	GSK269962	3.691	-11.2
965	paquinimod	3.692	-8.2
966	ML167	3.692	-10.6
967	Ro-48-6791	3.692	-9.7
968	dabigatran	3.692	-10.3
969	TWS-119	3.693	-10.1
970	broxuridine	3.693	-7.0
971	A-804598	3.693	-9.2
972	cipargamin	3.694	-10.0
973	vapendavir	3.694	-10.2
974	2-methylimidazole	3.695	-3.8
975	phenazone	3.695	-7.4
976	sulfapyridine	3.696	-8.2
977	ICI-169369	3.696	-9.1
978	YM-298198	3.697	-10.0
979	DCEBIO	3.697	-7.3
980	ML347	3.699	-11.3
981	PF-4800567	3.700	-9.4
982	trigonelline	3.700	-5.8
983	piconol	3.701	-4.9
984	adefovir-dipivoxil	3.701	-8.4
985	GR125487	3.701	-10.1
986	GR-159897	3.703	-10.6
987	sulfachlorpyridazine	3.703	-8.2
988	MMPX	3.706	-7.2
989	sofosbuvir-impurity-m	3.707	-9.3
990	BMS-345541	3.707	-8.2
991	dimethisoquin	3.707	-8.4
992	todralazine	3.708	-8.7
993	lusaperidone	3.709	-12.1
994	linsitinib	3.710	-11.5
995	_3_3_-diindolylmethane_	3.711	-10.3
996	ceftizoxim	3.711	-8.2
997	JNJ-26481585	3.713	-11.9
998	dynole-34-2	3.714	-8.7
999	sofosbuvir	3.715	-9.5
1000	panobinostat	3.717	-12.1
1001	pirquinozol	3.718	-7.8
1002	bopindolol	3.720	-9.8
1003	ambrisentan	3.721	-9.4
1004	VL285	3.721	-10.5
1005	BI-409306	3.722	-9.3
1006	CP-316819	3.724	-10.1
1007	PCI-34051	3.724	-9.5
1008	trilaciclib	3.725	-7.6
1009	dacinostat	3.726	-11.0
1010	nicorandil	3.726	-6.5
1011	PCI-27483	3.726	-8.9
1012	AMG900	3.728	-11.5
1013	betahistine	3.728	-5.5
1014	CXD101	3.729	-11.7
1015	PD-168393	3.730	-9.5
1016	UNC2327	3.730	-9.2
1017	4-methylhistamine	3.730	-4.8
1018	entecavir	3.731	-7.9
1019	AEE788	3.732	-11.7
1020	GR-113808	3.732	-10.3
1021	prinomastat	3.732	-10.5
1022	LPA2-antagonist-1	3.733	-10.8
1023	plinabulin	3.733	-9.5
1024	CP-91149	3.736	-10.3
1025	PF-4708671	3.736	-10.2
1026	sulfafurazole	3.739	-8.2
1027	CCMI	3.741	-9.3
1028	PF-05180999	3.742	-9.3
1029	Y-27632	3.743	-8.4
1030	Ro-15-4513	3.745	-9.1
1031	clomethiazole	3.745	-4.9
1032	STF-118804	3.745	-11.8
1033	GW-441756	3.746	-9.7
1034	BU-239	3.747	-7.6
1035	UK-383367	3.749	-9.2
1036	DR-2313	3.750	-6.7
1037	L-745870	3.750	-10.4
1038	cefixime	3.751	-7.6
1039	GSK356278	3.752	-9.7
1040	GSK2636771	3.754	-8.7
1041	molindone	3.755	-8.8
1042	idelalisib	3.755	-10.1
1043	pentostatin	3.756	-7.4
1044	CYM-5541	3.756	-9.8
1045	taselisib	3.756	-10.2
1046	ramosetron	3.757	-10.6
1047	NSI-189	3.757	-10.5
1048	AZD5363	3.758	-9.6
1049	necrostatin-1	3.758	-8.8
1050	6-chloromelatonin	3.758	-7.8
1051	luzindole	3.759	-10.8
1052	MLN0128	3.759	-9.0
1053	vercirnon	3.760	-11.0
1054	1-azakenpaullone	3.761	-10.5
1055	AZD1981	3.762	-8.2
1056	piroctone-olamine	3.764	-8.2
1057	KHS-101	3.765	-9.3
1058	HC-030031	3.765	-9.8
1059	PIK-93	3.766	-8.5
1060	AT7867	3.766	-9.3
1061	BAY-41-2272	3.766	-10.5
1062	Ro-28-1675	3.770	-8.8
1063	varespladib	3.771	-8.0
1064	RU-24969	3.772	-8.0
1065	CP-94253	3.772	-8.3
1066	NQDI-1	3.774	-8.5
1067	2-methyl-5-hydroxytryptamine	3.778	-7.4
1068	trovirdine	3.778	-8.0
1069	NVP-HSP990	3.778	-9.4
1070	NU-1025	3.779	-7.8
1071	mimosine	3.779	-6.2
1072	grapiprant	3.779	-11.6
1073	lisuride	3.781	-9.7
1074	NVP-TAE226	3.782	-10.2
1075	BYK-204165	3.782	-9.2
1076	ITE	3.782	-8.8
1077	ibiglustat	3.784	-11.1
1078	SB-334867	3.785	-9.7
1079	PF-05212384	3.786	-9.3
1080	SBE-13	3.786	-9.7
1081	morniflumate	3.786	-9.6
1082	TC-S-7005	3.787	-10.7
1083	tandutinib	3.787	-10.6
1084	WZ811	3.789	-9.4
1085	minaprine	3.790	-9.4
1086	DIPT	3.791	-8.9
1087	BML-284	3.791	-10.6
1088	LY215490	3.793	-9.2
1089	triprolidine	3.793	-9.7
1090	DMH1	3.795	-11.7
1091	fantofarone	3.796	-10.4
1092	CGS-20625	3.797	-10.3
1093	clevudine	3.797	-7.4
1094	MK-1903	3.799	-7.0
1095	carmofur	3.801	-7.9
1096	chlormidazole	3.804	-10.2
1097	H-151	3.805	-10.1
1098	tasuldine	3.805	-7.1
1099	sulfametopyrazine	3.805	-7.8
1100	CI-844	3.806	-7.5
1101	MSX-122	3.806	-9.6
1102	TMC-353121	3.807	-10.1
1103	parsaclisib	3.807	-8.7
1104	gramine	3.808	-7.2
1105	pheniramine	3.809	-8.2
1106	puromycin	3.810	-9.3
1107	PQ-401	3.811	-8.7
1108	sapropterin	3.811	-7.4
1109	S-3304	3.813	-11.3
1110	pretomanid	3.814	-9.4
1111	IRL-2500	3.815	-10.4
1112	etizolam	3.815	-9.5
1113	JK-184	3.815	-9.7
1114	alosetron	3.815	-9.3
1115	actinoquinol	3.817	-7.8
1116	dolasetron	3.825	-10.5
1117	methapyrilene	3.827	-7.2
1118	YM-298198-desmethyl	3.828	-9.6
1119	picotamide	3.828	-10.0
1120	risperidone	3.830	-11.7
1121	nicergoline	3.830	-9.0
1122	kynurenic-acid	3.831	-8.0
1123	procodazole	3.832	-7.5
1124	TAK-285	3.832	-10.7
1125	indole-3-pyrubate	3.834	-7.6
1126	folic-acid	3.834	-10.8
1127	telotristat	3.835	-10.5
1128	methylthiouracil	3.835	-5.5
1129	AZD2858	3.836	-11.2
1130	STA-5326	3.836	-10.6
1131	inosine	3.836	-7.4
1132	galidesivir	3.837	-7.1
1133	dexchlorpheniramine	3.837	-8.5
1134	CP-547632	3.838	-9.7
1135	BMS-690514	3.839	-8.8
1136	GMX1778	3.839	-9.1
1137	ilomastat	3.840	-9.1
1138	GW-1100	3.841	-9.3
1139	GS-9973	3.841	-9.3
1140	omeprazole-sulfide	3.842	-8.8
1141	cilostamide	3.843	-10.4
1142	olmesartan-medoxomil	3.844	-8.4
1143	BAY-61-3606	3.848	-8.0
1144	nikethamide	3.848	-6.5
1145	ftorafur	3.851	-7.0
1146	fanetizole	3.853	-9.4
1147	LY311727	3.853	-10.0
1148	serdemetan	3.855	-10.7
1149	CGP-60474	3.856	-9.5
1150	flibanserin	3.857	-10.7
1151	LY334370	3.859	-9.9
1152	pardoprunox	3.859	-7.9
1153	GKT137831	3.861	-8.2
1154	dimethindene-_S_-___	3.862	-9.7
1155	BCI-540	3.862	-9.1
1156	telatinib	3.864	-10.6
1157	thonzonium	3.864	-9.4
1158	tenatoprazole	3.864	-9.0
1159	nilotinib	3.867	-11.4
1160	purvalanol-B	3.869	-8.5
1161	pikamilone	3.869	-6.7
1162	BRD7389	3.869	-10.6
1163	SR-3677	3.869	-10.3
1164	PIK-294	3.870	-9.4
1165	carsalam	3.871	-7.6
1166	SDZ-WAG-994	3.872	-8.5
1167	tradipitant	3.872	-8.4
1168	_hydroxytacrine-maleate-_R_S__	3.873	-8.4
1169	gavestinel	3.874	-9.9
1170	PF-670462	3.877	-10.6
1171	benzo_d_thiazole-2_3H_-thione	3.878	-6.3
1172	LDN193189	3.878	-12.3
1173	GANT-61	3.878	-7.5
1174	centazolone	3.880	-8.8
1175	pirlindole	3.881	-9.3
1176	bamaquimast	3.882	-8.6
1177	R306465	3.883	-12.1
1178	ESI-09	3.883	-9.4
1179	VS-4718	3.883	-11.5
1180	quizartinib	3.884	-11.7
1181	chlorphenamine	3.884	-8.5
1182	Ro-5126766	3.884	-11.4
1183	olomoucine	3.885	-9.0
1184	chuanxiongzine	3.885	-6.1
1185	toceranib	3.886	-10.8
1186	lasmiditan	3.887	-11.1
1187	chloropyramine	3.887	-8.7
1188	bisacodyl	3.887	-9.7
1189	ZM-447439	3.888	-10.5
1190	metamizole	3.888	-8.4
1191	AZD7594	3.889	-11.7
1192	selonsertib	3.889	-11.3
1193	PRT062607	3.889	-9.0
1194	tipiracil	3.891	-8.0
1195	oxiperomide	3.892	-10.3
1196	sulfisoxazole-acetyl	3.894	-8.8
1197	telbivudine	3.895	-7.1
1198	CPI-169	3.897	-9.1
1199	GSK1059615	3.897	-9.5
1200	BU226	3.899	-8.1
1201	THZ1-R	3.900	-11.0
1202	telotristat-ethyl	3.901	-10.2
1203	allopurinol-riboside	3.901	-7.1
1204	propylthiouracil	3.901	-6.2
1205	brompheniramine	3.902	-8.1
1206	L-701252	3.903	-8.5
1207	CC4	3.904	-11.8
1208	GS-967	3.904	-10.3
1209	RGFP966	3.904	-10.9
1210	zolmitriptan	3.906	-9.0
1211	pravadoline	3.906	-10.4
1212	modaline	3.906	-7.1
1213	pantoprazole	3.906	-9.1
1214	pazopanib	3.907	-11.3
1215	defactinib	3.907	-11.0
1216	teneligliptin	3.908	-10.0
1217	laquinimod	3.909	-8.8
1218	rucaparib	3.910	-10.0
1219	TCN238	3.910	-8.2
1220	flupirtine	3.911	-9.2
1221	INC-280	3.911	-10.4
1222	efatutazone	3.913	-12.0
1223	CGP-12177	3.913	-8.3
1224	iloperidone	3.915	-10.8
1225	VU0155069	3.915	-12.7
1226	N-oxydiethylenebenzothiazole-2-sulfenamide	3.915	-7.8
1227	CDK9-IN-6	3.915	-10.2
1228	2-iodomelatonin	3.916	-7.7
1229	SANT-1	3.917	-10.7
1230	PF-06928215	3.918	-10.0
1231	I-BET151	3.919	-6.5
1232	radotinib	3.924	-10.7
1233	PF-915275	3.924	-10.0
1234	AZD5153	3.925	-11.7
1235	carbadox	3.926	-7.9
1236	temanogrel	3.927	-10.5
1237	benperidol	3.928	-10.8
1238	trazodone	3.929	-10.0
1239	carbimazole	3.929	-6.0
1240	WHI-P154	3.930	-8.4
1241	ondansetron	3.931	-9.4
1242	ceftriaxone	3.932	-7.8
1243	etoricoxib	3.932	-8.3
1244	ibudilast	3.933	-8.6
1245	succinylsulfathiazole	3.933	-8.9
1246	nifenazone	3.934	-10.2
1247	NS-018	3.935	-10.5
1248	oxonic-acid	3.935	-5.8
1249	gefitinib	3.935	-8.7
1250	zilpaterol	3.935	-8.1
1251	talazoparib	3.936	-9.4
1252	AZD3463	3.937	-10.4
1253	vonoprazan	3.938	-9.3
1254	MDL-29951	3.940	-8.4
1255	almotriptan	3.940	-8.9
1256	GW-438014A	3.940	-10.7
1257	PBT-1033	3.943	-7.3
1258	PF-06447475	3.946	-8.5
1259	LY3009120	3.946	-9.4
1260	caroverin	3.947	-10.5
1261	benfotiamine	3.948	-9.3
1262	XL647	3.949	-11.2
1263	vandetanib	3.950	-10.2
1264	sulfatinib	3.951	-10.6
1265	SR-3306	3.952	-13.2
1266	NECA	3.953	-7.8
1267	palosuran	3.953	-11.1
1268	pozanicline	3.954	-7.1
1269	ripazepam	3.955	-9.2
1270	mepyramine	3.956	-8.2
1271	pyritinol	3.956	-7.8
1272	RLX	3.956	-9.2
1273	MK-0812	3.958	-8.7
1274	SUN-B-8155	3.958	-8.1
1275	carvedilol	3.958	-9.3
1276	YM-976	3.959	-9.5
1277	CGS-9896	3.960	-10.2
1278	halofuginone	3.961	-9.1
1279	mdivi-1	3.961	-8.4
1280	PD-166285	3.961	-10.2
1281	DMH4	3.963	-10.9
1282	AS-2444697	3.965	-10.3
1283	AZ5104	3.966	-8.3
1284	CYM-5442	3.966	-9.1
1285	kenpaullone	3.967	-11.0
1286	LY344864	3.967	-10.8
1287	clopidol	3.967	-6.6
1288	BIA-10-2474	3.968	-9.8
1289	sitagliptin	3.968	-10.4
1290	solcitinib	3.970	-10.3
1291	cefalonium	3.970	-9.2
1292	PTC-209	3.971	-7.6
1293	sumatriptan	3.971	-8.0
1294	HLCL-61	3.971	-9.5
1295	macitentan-n-butyl-analogue	3.972	-8.4
1296	NVP-BVU972	3.973	-10.4
1297	doxylamine	3.974	-8.3
1298	chlorazanil	3.978	-7.7
1299	ceftobiprole	3.978	-8.9
1300	SB-408124	3.979	-10.3
1301	ZD-7288	3.982	-8.1
1302	NVP-TNKS656	3.983	-10.9
1303	NVP-BHG712	3.984	-12.8
1304	nizofenone	3.985	-8.3
1305	lorediplon	3.987	-10.8
1306	cediranib	3.988	-9.8
1307	LY2452473	3.988	-9.1
1308	SGX523	3.991	-10.8
1309	orotic-acid	3.992	-6.1
1310	KX2-391	3.993	-11.2
1311	GLPG1837	3.994	-8.2
1312	LMI070	3.994	-12.2
1313	amsacrine	3.996	-11.5
1314	R-1487	3.996	-9.6
1315	LDN-212854	3.998	-12.0
1316	4-iodo-6-phenylpyrimidine	3.998	-7.6
1317	dabrafenib	4.001	-10.2
1318	flumatinib	4.003	-10.9
1319	raltegravir	4.004	-10.2
1320	O-304	4.005	-10.0
1321	stemregenin-1	4.005	-9.6
1322	AG-14361	4.005	-10.1
1323	pelanserin	4.006	-10.3
1324	tolimidone	4.007	-8.0
1325	PF-05175157	4.014	-11.1
1326	altanserin	4.015	-11.7
1327	JIB04	4.015	-10.6
1328	AZD7986	4.016	-11.0
1329	NNC-55-0396	4.017	-10.8
1330	sulfamethizole	4.018	-8.1
1331	mubritinib	4.019	-10.7
1332	BFH772	4.020	-10.8
1333	beta-CCB	4.020	-8.7
1334	AZD1480	4.021	-9.1
1335	SPP301	4.022	-8.1
1336	bupicomide	4.022	-7.2
1337	CHIR-99021	4.022	-10.1
1338	walrycin-B	4.022	-10.0
1339	EVP4593	4.023	-10.9
1340	lurasidone	4.023	-10.2
1341	cytisine	4.024	-7.7
1342	emedastine	4.027	-8.4
1343	fezolinetant	4.028	-11.2
1344	AM-630	4.029	-9.1
1345	JNJ-7777120	4.029	-8.4
1346	pirenzepine	4.031	-9.0
1347	SR-2640	4.034	-11.2
1348	CYM-50260	4.034	-8.1
1349	TC-ASK-10	4.037	-10.5
1350	GR-79236	4.039	-8.7
1351	cot-inhibitor-2	4.040	-9.9
1352	carbinoxamine	4.040	-8.0
1353	uridine-triacetate	4.041	-8.4
1354	gabazine	4.042	-8.3
1355	acriflavinium	4.045	-8.6
1356	clemizole	4.045	-11.0
1357	pirinixic-acid	4.046	-8.7
1358	poziotinib	4.046	-9.3
1359	PHA-767491	4.047	-8.8
1360	minodronic-acid	4.050	-7.4
1361	FG-7142	4.050	-8.4
1362	octenidine	4.051	-9.1
1363	SR-33805	4.053	-10.1
1364	filgotinib	4.054	-9.9
1365	lazertinib	4.055	-9.7
1366	purvalanol-A	4.056	-8.5
1367	napirimus	4.059	-10.3
1368	brimonidine	4.059	-7.6
1369	moxaverine	4.062	-8.4
1370	UNC669	4.063	-8.6
1371	nalidixic-acid	4.064	-8.0
1372	CY208-243	4.065	-9.4
1373	ACY-1215	4.066	-9.2
1374	ampalex	4.068	-8.6
1375	GTP-14564	4.068	-10.1
1376	peposertib	4.069	-10.1
1377	Y-320	4.069	-11.7
1378	amtolmetin-guacil	4.069	-10.4
1379	BX-795	4.070	-10.6
1380	WAY-208466	4.071	-9.5
1381	SB-216641	4.071	-11.2
1382	IU1	4.072	-9.3
1383	PF-04937319	4.072	-10.2
1384	roquinimex	4.073	-9.9
1385	sunitinib	4.074	-9.8
1386	TG-100572	4.076	-11.2
1387	mivebresib	4.076	-9.4
1388	ETC-159	4.079	-10.3
1389	oxatomide	4.079	-10.6
1390	BMS-582949	4.082	-8.7
1391	THZ1	4.082	-11.8
1392	OSI-420	4.083	-7.9
1393	GK921	4.085	-9.1
1394	AZD8330	4.087	-8.2
1395	clonixin	4.087	-8.6
1396	roscovitine	4.091	-8.7
1397	TBA-354	4.092	-11.0
1398	trifluridine	4.092	-8.2
1399	etazolate	4.093	-7.8
1400	LY2857785	4.093	-10.5
1401	enisamium-iodide	4.093	-9.2
1402	Lu-AA-47070	4.093	-9.3
1403	ABT-751	4.094	-9.9
1404	anlotinib	4.095	-10.3
1405	TC-S-7004	4.096	-11.7
1406	F-11440	4.096	-9.1
1407	PF-431396	4.097	-11.6
1408	L-161982	4.097	-7.0
1409	JPH203	4.098	-10.2
1410	piboserod	4.098	-10.5
1411	SB-206553	4.100	-9.8
1412	APY-29	4.102	-10.5
1413	AVL-292	4.103	-8.5
1414	ribavirin	4.106	-6.6
1415	tafenoquine	4.106	-8.1
1416	stavudine	4.107	-7.5
1417	nevirapine	4.107	-9.0
1418	LY3295668	4.110	-10.3
1419	zolantidine	4.110	-10.2
1420	ketanserin	4.115	-11.9
1421	flosequinan	4.115	-7.6
1422	nemorexant	4.116	-7.7
1423	CPI-0610	4.118	-9.1
1424	4-hydroxy-phenazone	4.119	-7.7
1425	isamoltane	4.122	-8.2
1426	fedratinib	4.122	-10.1
1427	SEP-227900	4.123	-6.0
1428	Nampt-IN-1	4.124	-9.6
1429	riociguat	4.124	-9.3
1430	SB-939	4.124	-9.0
1431	moxifloxacin	4.126	-8.2
1432	JNJ-47965567	4.128	-11.0
1433	zibotentan	4.128	-8.6
1434	L-ergothioneine	4.131	-6.1
1435	detomidine	4.135	-7.8
1436	ORG-26576	4.138	-8.1
1437	proquazone	4.141	-10.2
1438	guadecitabine	4.141	-11.5
1439	mestinon	4.141	-6.2
1440	LY456236	4.141	-8.6
1441	TG-100801	4.143	-10.2
1442	cinchocaine	4.145	-8.5
1443	AMD-3465	4.146	-10.3
1444	dapiprazole	4.147	-9.6
1445	PU-H71	4.147	-8.0
1446	CYC065	4.148	-8.1
1447	S49076	4.150	-10.8
1448	neuropathiazol	4.151	-9.3
1449	AZD3514	4.152	-11.9
1450	RMC-4550	4.153	-8.1
1451	TCV-309	4.153	-11.1
1452	dimpylate	4.155	-7.1
1453	PF-8380	4.155	-11.2
1454	dexlansoprazole	4.155	-9.5
1455	dorsomorphin	4.155	-10.4
1456	pilaralisib	4.157	-9.9
1457	voreloxin	4.158	-8.6
1458	4SC-202	4.159	-11.3
1459	canertinib	4.159	-9.2
1460	adatanserin	4.159	-10.5
1461	sulfisomidin	4.160	-8.8
1462	AZ-12080282	4.160	-10.7
1463	bendazol	4.161	-9.4
1464	CNX-774	4.161	-12.4
1465	Ro-19-4605	4.161	-8.7
1466	ASP-2535	4.162	-11.1
1467	emoxipin	4.162	-6.0
1468	oxolamine	4.162	-8.1
1469	MK-571	4.164	-9.9
1470	PF-3845	4.164	-12.1
1471	talnetant	4.164	-10.5
1472	CPI-1205	4.165	-9.2
1473	WAY-207024	4.165	-11.2
1474	motapizone	4.165	-8.0
1475	pioglitazone	4.165	-9.9
1476	2-phenylmelatonin	4.166	-9.8
1477	OC000459	4.170	-11.1
1478	MK-8998	4.170	-10.4
1479	cefazolin	4.172	-8.3
1480	YM-155	4.176	-7.7
1481	ML277	4.176	-10.4
1482	PHA-543613	4.178	-9.0
1483	alpidem	4.178	-8.7
1484	altiratinib	4.178	-12.4
1485	bisindolylmaleimide-IX	4.181	-9.2
1486	ABT-491	4.181	-8.4
1487	flumazenil	4.182	-9.0
1488	lerisetron	4.183	-9.8
1489	CNX-2006	4.183	-8.3
1490	setipiprant	4.183	-8.4
1491	eletriptan	4.184	-10.8
1492	GSK2110183	4.185	-9.7
1493	iodoantipyrine	4.191	-8.1
1494	perchlozone	4.194	-6.2
1495	CGS-21680	4.194	-10.4
1496	7-chlorokynurenic-acid	4.195	-7.8
1497	AMG-337	4.196	-9.2
1498	GSK-J1	4.196	-9.8
1499	GSK2334470	4.197	-10.9
1500	TG-101209	4.197	-9.2
1501	cefpirome	4.198	-9.3
1502	mavacamten	4.198	-8.8
1503	DH-97	4.199	-10.2
1504	PI4KIII-beta-inhibitor-1	4.199	-9.4
1505	MK-0608	4.201	-7.1
1506	ceftazidime	4.201	-7.4
1507	UNC0638	4.202	-9.8
1508	GR-135531	4.203	-8.0
1509	DNQX	4.203	-7.3
1510	AZD8797	4.204	-8.5
1511	CCG-63808	4.207	-9.1
1512	CH223191	4.207	-9.9
1513	D-3263	4.209	-7.7
1514	PSB-11	4.209	-9.5
1515	taladegib	4.209	-10.9
1516	lucitanib	4.211	-9.8
1517	1-naphthyl-PP1	4.212	-8.6
1518	PFK-015	4.213	-9.6
1519	ispinesib	4.217	-7.2
1520	tripelennamine	4.217	-8.2
1521	alovudine	4.218	-7.5
1522	arcyriaflavin-a	4.219	-10.6
1523	phthalylsulfathiazole	4.221	-10.4
1524	sulmazole	4.222	-8.7
1525	balaglitazone	4.222	-12.5
1526	doxifluridine	4.225	-7.4
1527	PSI-7976	4.226	-9.1
1528	XL228	4.228	-11.0
1529	BMS-863233	4.229	-9.5
1530	tasquinimod	4.230	-9.4
1531	darglitazone	4.232	-11.9
1532	CCMQ	4.234	-8.4
1533	pevonedistat	4.234	-11.3
1534	thonzylamine	4.236	-8.5
