rank	ligand	N_Fe_dist_A	vina_kcal_mol
183	fasudil	2.941	-8.2
184	amezinium	2.942	-7.4
185	indalpine	2.942	-9.0
186	cefamandole	2.945	-9.1
187	tryptophan	2.947	-7.7
188	ripasudil	2.947	-8.5
189	TC-S-7009	2.947	-9.1
190	cefmenoxime	2.948	-7.5
191	fdcyd	2.949	-7.2
192	HSR6071	2.951	-8.8
193	JI-101	2.952	-9.7
194	cytidine	2.952	-6.7
195	GDC-0623	2.954	-8.6
196	MLN2480	2.955	-10.4
197	ruxolitinib	2.957	-8.8
198	PIM-1-Inhibitor-2	2.959	-10.1
199	dextrorotation-nimorazole-phosphate-ester	2.961	-7.3
200	fludarabine	2.963	-7.8
201	AMPA-_S_	2.964	-6.2
202	triapine	2.965	-6.1
203	emorfazone	2.966	-6.8
204	minoxidil	2.966	-7.4
205	VER-155008	2.967	-9.8
206	pyridoxamine	2.969	-5.9
207	serotonin	2.972	-7.1
208	temozolomide	2.972	-7.1
209	decitabine	2.972	-6.8
210	verubecestat	2.978	-10.4
211	verdiperstat	2.979	-7.0
212	veliparib	2.980	-8.5
213	flucytosine	2.980	-5.2
214	protirelin	2.981	-8.1
215	proflavine-hemisulfate	2.981	-8.4
216	immepip	2.982	-6.2
217	BIBX-1382	2.985	-7.5
218	lodenosine	2.988	-7.6
219	sinefungin	2.989	-8.4
220	CL-218872	2.991	-9.7
221	dacarbazine	2.991	-5.8
222	carumonam	2.992	-7.8
223	regadenoson	2.993	-8.0
224	2_-C-methylguanosine	2.996	-7.6
225	naphthoquine-phosphate	2.996	-9.4
226	famciclovir	3.002	-7.5
227	cordycepin	3.003	-7.2
228	cefcapene-pivoxil	3.003	-7.6
229	API-1	3.005	-8.4
230	CV-1808	3.006	-8.7
231	trimetrexate	3.006	-8.4
232	cefamandole-nafate	3.006	-8.6
233	T-0070907	3.008	-8.2
234	hypoxanthine	3.009	-5.5
235	CGP-71683	3.011	-13.3
236	CZC24832	3.011	-9.8
237	adenosine-phosphate	3.014	-7.8
238	repsox	3.014	-9.9
239	ampyrone	3.015	-7.7
240	acadesine	3.016	-6.7
241	benzamil	3.016	-9.8
242	calcium-levofolinate	3.017	-11.1
243	ACTB-1003	3.020	-10.6
244	vidarabine	3.023	-7.0
245	toyocamycin	3.024	-7.7
246	adenosine-triphosphate	3.025	-9.2
247	PF-02545920	3.025	-11.3
248	ethionamide	3.026	-6.1
249	baricitinib	3.027	-8.9
250	riluzole	3.028	-7.6
251	GW-2580	3.028	-10.4
252	2-pyridylethylamine	3.029	-5.3
253	cladribine	3.029	-7.6
254	alpha-methylserotonin	3.032	-7.5
255	methyl-5-hydroxytryptamine	3.032	-7.5
256	muscimol	3.032	-4.6
257	fludarabine-phosphate	3.033	-8.3
258	farampator	3.033	-8.8
259	SB-239063	3.035	-10.3
260	NS-11394	3.036	-10.6
261	TC-A-2317	3.036	-8.9
262	C-1	3.037	-8.2
263	TCS-OX2-29	3.037	-8.4
264	lometrexol	3.037	-11.5
265	N-acetylcarnosine	3.038	-7.4
266	TP-003	3.039	-10.5
267	valsartan	3.039	-8.5
268	EMD-1214063	3.041	-12.3
269	medetomidine	3.045	-7.9
270	thioguanine	3.045	-6.2
271	ademetionine	3.048	-7.8
272	SD-169	3.049	-7.4
273	acyclovir	3.050	-6.5
274	Ro-60-0175	3.052	-7.2
275	rizatriptan	3.052	-8.5
276	picolamine	3.053	-4.8
277	sulfamethoxypyridazine	3.054	-8.3
278	ANR-94	3.054	-6.6
279	SKA-31	3.054	-8.7
280	lamivudine	3.056	-6.4
281	VT-464	3.059	-9.4
282	sulfadiazine	3.065	-8.2
283	cipamfylline	3.065	-8.3
284	nepicastat	3.067	-8.7
285	PRT062070	3.067	-10.0
286	zalcitabine	3.069	-7.0
287	PNU-22394	3.071	-7.9
288	TRIM	3.072	-7.5
289	protionamide	3.074	-6.5
290	apricitabine	3.074	-6.5
291	adenosine	3.075	-7.1
292	CA-4948	3.076	-11.1
293	D-157495	3.077	-10.1
294	didanosine	3.078	-7.4
295	indoximod	3.080	-7.3
296	azaguanine-8	3.080	-6.1
297	TCS-PIM-1-1	3.080	-9.5
298	trabodenoson	3.081	-9.3
299	imetit	3.081	-5.4
300	deazaguanine	3.083	-6.1
301	LDN-209929	3.083	-8.6
302	dequalinium	3.083	-10.9
303	LY2886721	3.085	-10.5
304	methotrexate	3.085	-10.1
305	fimasartan	3.085	-9.2
306	econazole	3.086	-9.9
307	PAT-1251	3.087	-11.9
308	PF-06273340	3.087	-11.1
309	L-quisqualic-acid	3.088	-5.8
310	RWJ-21757	3.088	-8.1
311	EPZ004777	3.088	-10.7
312	famotidine	3.088	-7.6
313	procyclidine	3.089	-7.9
314	tizanidine	3.089	-7.3
315	T-5601640	3.093	-10.8
316	5-carboxamidotryptamine	3.094	-7.4
317	nelotanserin	3.094	-10.1
318	JNJ-64619178	3.098	-11.5
319	voxtalisib	3.100	-8.4
320	oglufanide	3.100	-8.8
321	isoconazole	3.101	-9.1
322	triciribine	3.102	-8.6
323	amthamine	3.102	-5.3
324	nemiralisib	3.102	-11.3
325	BMS-182874	3.102	-9.5
326	cefminox	3.102	-7.3
327	adenine	3.102	-5.5
328	donitriptan	3.103	-10.8
329	RP-001	3.103	-10.0
330	TEPP-46	3.104	-9.6
331	pemetrexed	3.104	-11.3
332	PF-06459988	3.105	-8.5
333	emtricitabine	3.107	-6.7
334	JNJ-678	3.108	-10.0
335	sulfaphenazole	3.109	-9.5
336	CKI-7	3.109	-7.4
337	7-nitroindazole	3.109	-6.7
338	glafenine	3.110	-8.7
339	sulfamonomethoxine	3.110	-8.2
340	homoquinolinic-acid	3.112	-6.6
341	cenobamate	3.115	-7.6
342	bafetinib	3.116	-11.7
343	JNJ-42165279	3.116	-10.7
344	A-674563	3.116	-10.2
345	cevipabulin	3.116	-8.9
346	PD-158780	3.117	-8.7
347	trapidil	3.118	-6.5
348	2-chloroadenosine	3.118	-7.6
349	pifithrin-alpha	3.119	-10.2
350	ASP-6537	3.120	-8.0
351	histamine	3.121	-4.7
352	AZ-628	3.123	-12.1
353	enprofylline	3.123	-6.6
354	ICI-63197	3.124	-7.2
355	alpelisib	3.125	-9.8
