cid	smiles	pchembl	n_records	types	heavy	verdict	max_tc	nearest_active	in_domain
CHEMBL426584	COc1cc(Cc2cnc(N)nc2N)ccc1OCCCCN1C(=O)c2ccccc2C1=O	7.51	3	IC50	33	in-envelope-novel	0.129	fenticonazole	True
CHEMBL426768	Nc1ncc(OCc2cccc3ccccc23)c(N)n1	6.37	3	IC50	20	in-envelope-novel	0.158	sertaconazole	True
CHEMBL426950	CC(C)(C)c1ccc(COc2cnc(N)nc2N)cc1	5.29	3	IC50	20	in-envelope-novel	0.133	fenticonazole	True
CHEMBL428110	CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CCN(C)C)NC(=O)[C@H]([C@H](O)[C@@H](O)c2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O	8.3	1	IC50	76	out-of-scope	0.121	posaconazole	False
CHEMBL428111	CC[C@H](C)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(N)=O)C(C)C	5.31	1	IC50	93	out-of-domain	0.105	posaconazole	False
CHEMBL428798	CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)CNC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@H]([C@H](O)CC(=O)O)NC(=O)[C@H]([C@H](O)Cc2ccc(O)cc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H]([C@@H](C)O)NC1=O	6.4	1	IC50	73	out-of-scope	0.122	posaconazole	False
CHEMBL428871	CC(C)=CCC/C(C)=C/CC/C(C)=C/C=N/O	5.3	1	IC50	17	out-of-scope	0.046	oxiconazole	False
CHEMBL430265	CC[C@H](C)[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](N)CCCN=C(N)N)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(N)=O	5.48	1	IC50	95	out-of-domain	0.099	posaconazole	False
CHEMBL431953	CC(C)C(C(C)C)N(Cc1c[nH]cn1)S(=O)(=O)c1cc(Cl)sc1Cl	7.15	1	IC50	24	in-envelope-novel	0.118	itraconazole	True
CHEMBL432165	OC(Cn1cncn1)(Cn1cncn1)c1ccc(-c2ccc(Cl)cc2)cc1	5.14	1	IC50	27	in-envelope-novel	0.468	fluconazole	True
CHEMBL432644	O=S(=O)(c1ccc(CN2CCN(c3ccccn3)CC2)cc1)N(Cc1c[nH]cn1)CC1CCCCC1	10.78	1	IC50	36	in-envelope-novel	0.13	ketoconazole	True
CHEMBL433886	Cc1c(COc2ccc(Cl)cc2)oc2cccc(OCCCNCc3cccnc3)c12	5.61	2	IC50	31	in-envelope-novel	0.19	butoconazole	True
CHEMBL434276	Cc1c(CSc2ccccc2)oc2cccc(OCCCNCc3cccnc3)c12	4.96	1	IC50	30	in-envelope-novel	0.176	fenticonazole	True
